station_id,station_name,lat,lon,elevation,source,type_mes,mmask,is_snotel,swq_valid_count,snd_valid_count,swq_completeness,snd_completeness,BOUNDING_BOX_COORDS,POUR_POINT_COORDS,Watershed_Name
CanSWE-ALE-05AA805,WEST CASTLE SNOW,49.266666,-114.35,1525.0,CanSWEv6-Alberta Environment,0,1,False,15,15,0.04793557458775406,0.04793557458775406,49.366665/-114.45/49.166668/-114.25,49.266666/-114.35,CanSWE_ALE_05AA805
CanSWE-ALE-05AA806,RACE HORSE CREEK,49.816666,-114.63333,1920.0,CanSWEv6-Alberta Environment,0,1,False,50,50,0.15978524862584687,0.15978524862584687,49.916664/-114.73333/49.716667/-114.53333,49.816666/-114.63333,CanSWE_ALE_05AA806
CanSWE-ALE-05AD802,MIDDLE DRYWOOD,49.25,-114.05,1570.0,CanSWEv6-Alberta Environment,0,1,False,7,7,0.02236993480761856,0.02236993480761856,49.35/-114.15/49.15/-113.950005,49.25/-114.05,CanSWE_ALE_05AD802
CanSWE-ALE-05AE810,\LEE CREEK \\P\\\,49.033333,-113.566666,1525.0,CanSWEv6-Alberta Environment,0,0,False,17,17,0.05432698453278793,0.05432698453278793,49.13333/-113.666664/48.933334/-113.46667,49.033333/-113.566666,CanSWE_ALE_05AE810
CanSWE-ALE-05AE811,\LEE CREEK \\D\\\,49.016666,-113.61667,1660.0,CanSWEv6-Alberta Environment,0,1,False,16,16,0.051131279560271,0.051131279560271,49.116665/-113.71667/48.916668/-113.51667,49.016666/-113.61667,CanSWE_ALE_05AE811
CanSWE-ALE-05AE812,\LEE CREEK \\E\\\,49.016666,-113.65,1675.0,CanSWEv6-Alberta Environment,0,1,False,14,14,0.04473986961523712,0.04473986961523712,49.116665/-113.75/48.916668/-113.55,49.016666/-113.65,CanSWE_ALE_05AE812
CanSWE-ALE-05AE813,\LEE CREEK \\F\\\,49.05,-113.48333,1570.0,CanSWEv6-Alberta Environment,0,0,False,16,16,0.051131279560271,0.051131279560271,49.149998/-113.58333/48.95/-113.38333,49.05/-113.48333,CanSWE_ALE_05AE813
CanSWE-ALE-05AE815,\LEE CREEK \\H\\\,48.966667,-113.53333,1646.0,CanSWEv6-Alberta Environment,0,1,False,8,8,0.0255656397801355,0.0255656397801355,49.066666/-113.63333/48.86667/-113.433334,48.966667/-113.53333,CanSWE_ALE_05AE815
CanSWE-ALE-05AE816,\LEE CREEK \\J\\\,48.983334,-113.6,1645.0,CanSWEv6-Alberta Environment,0,1,False,8,8,0.0255656397801355,0.0255656397801355,49.083332/-113.7/48.883335/-113.5,48.983334/-113.6,CanSWE_ALE_05AE816
CanSWE-ALE-05BA811,BOW SUMMIT (OLD),51.7,-116.46667,2080.0,CanSWEv6-Alberta Environment,0,1,False,7,7,0.02236993480761856,0.02236993480761856,51.8/-116.566666/51.600002/-116.36667,51.7/-116.46667,CanSWE_ALE_05BA811
CanSWE-ALE-05BL801,HIGHWOOD S. OPEN,50.6,-114.98333,2210.0,CanSWEv6-Alberta Environment,0,1,False,2,2,0.006391409945033875,0.006391409945033875,50.699997/-115.08333/50.5/-114.88333,50.6/-114.98333,CanSWE_ALE_05BL801
CanSWE-ALE-05BL808,MOUNT ODLUM,50.483334,-114.86667,1860.0,CanSWEv6-Alberta Environment,0,1,False,9,9,0.028761344752652435,0.028761344752652435,50.583332/-114.96667/50.383335/-114.76667,50.483334/-114.86667,CanSWE_ALE_05BL808
CanSWE-ALE-05FA802,PIPESTONE CREEK,53.066666,-113.816666,790.0,CanSWEv6-Alberta Environment,0,0,False,31,31,0.09906685414802505,0.09906685414802505,53.166664/-113.916664/52.966667/-113.71667,53.066666/-113.816666,CanSWE_ALE_05FA802
CanSWE-ALE-07BB805,PADDLE 1,53.8667,-115.3167,760.0,CanSWEv6-Alberta Environment,0,0,False,15,15,0.04793557458775406,0.04793557458775406,53.966698/-115.4167/53.7667/-115.216705,53.8667/-115.3167,CanSWE_ALE_07BB805
CanSWE-ALE-07DD802,JACKFISH VILLAGE,58.416668,-110.933334,210.0,CanSWEv6-Alberta Environment,0,0,False,88,88,0.28122203758149045,0.28122203758149045,58.516666/-111.03333/58.31667/-110.833336,58.416668/-110.933334,CanSWE_ALE_07DD802
CanSWE-ALE-07GF808,SPRING CREEK#2,54.916668,-117.816666,650.0,CanSWEv6-Alberta Environment,0,0,False,37,37,0.11824108398312669,0.11824108398312669,55.016666/-117.916664/54.81667/-117.71667,54.916668/-117.816666,CanSWE_ALE_07GF808
CanSWE-ALE-07GF809,SPRING CREEK#3,54.95,-117.683334,730.0,CanSWEv6-Alberta Environment,0,0,False,37,37,0.11824108398312669,0.11824108398312669,55.05/-117.78333/54.850002/-117.583336,54.95/-117.683334,CanSWE_ALE_07GF809
CanSWE-ALE-07GF810,SPRING CREEK#4,54.916668,-117.683334,740.0,CanSWEv6-Alberta Environment,0,0,False,37,37,0.11824108398312669,0.11824108398312669,55.016666/-117.78333/54.81667/-117.583336,54.916668/-117.683334,CanSWE_ALE_07GF810
CanSWE-ALE-07KF801,HIGHROCK TOWER,58.8,-111.55,210.0,CanSWEv6-Alberta Environment,0,0,False,89,89,0.2844177425540074,0.2844177425540074,58.899998/-111.65/58.7/-111.450005,58.8/-111.55,CanSWE_ALE_07KF801
CanSWE-ALE-11AB801,THELMA CREEK,49.566666,-110.26667,1295.0,CanSWEv6-Alberta Environment,0,0,False,9,9,0.028761344752652435,0.028761344752652435,49.666664/-110.36667/49.466667/-110.16667,49.566666/-110.26667,CanSWE_ALE_11AB801
CanSWE-BCE-1A01,YELLOWHEAD,52.9,-118.55,1860.0,CanSWEv6-British Columbia Environment,0,1,False,139,139,0.4442029911798543,0.4442029911798543,53.0/-118.65/52.800003/-118.450005,52.9/-118.55,CanSWE_BCE_1A01
CanSWE-BCE-1A02,MC BRIDE (UPPER),53.3,-120.316666,1580.0,CanSWEv6-British Columbia Environment,0,1,False,216,216,0.6902722740636584,0.6902722740636584,53.399998/-120.416664/53.2/-120.21667,53.3/-120.316666,CanSWE_BCE_1A02
CanSWE-BCE-1A03,BARKERVILLE,53.05,-121.48333,1520.0,CanSWEv6-British Columbia Environment,0,1,False,165,165,0.5272913204652946,0.5272913204652946,53.149998/-121.58333/52.95/-121.38333,53.05/-121.48333,CanSWE_BCE_1A03
CanSWE-BCE-1A06,HANSARD,54.083332,-121.86667,590.0,CanSWEv6-British Columbia Environment,0,0,False,21,21,0.06710980442285569,0.06710980442285569,54.18333/-121.96667/53.983334/-121.76667,54.083332/-121.86667,CanSWE_BCE_1A06
CanSWE-BCE-1A07,FORT ST.JAMES,54.483334,-124.15,810.0,CanSWEv6-British Columbia Environment,0,0,False,90,90,0.28761344752652435,0.28761344752652435,54.583332/-124.25/54.383335/-124.05,54.483334/-124.15,CanSWE_BCE_1A07
CanSWE-BCE-1A08,BOWRON LAKE,53.25,-121.36667,1280.0,CanSWEv6-British Columbia Environment,0,1,False,11,11,0.035152754697686306,0.035152754697686306,53.35/-121.46667/53.15/-121.26667,53.25/-121.36667,CanSWE_BCE_1A08
CanSWE-BCE-1A09,TORPY RIVER,54.083332,-121.666664,1070.0,CanSWEv6-British Columbia Environment,0,1,False,35,35,0.1118496740380928,0.1118496740380928,54.18333/-121.76666/53.983334/-121.566666,54.083332/-121.666664,CanSWE_BCE_1A09
CanSWE-BCE-1A13,LONGWORTH (LOWER),53.95,-121.45,1230.0,CanSWEv6-British Columbia Environment,0,1,False,37,37,0.11824108398312669,0.11824108398312669,54.05/-121.549995/53.850002/-121.35,53.95/-121.45,CanSWE_BCE_1A13
CanSWE-BCE-1A14,HEDRICK LAKE,54.1,-121.0,1100.0,CanSWEv6-British Columbia Environment,0,1,False,200,200,0.6391409945033875,0.6391409945033875,54.199997/-121.1/54.0/-120.9,54.1/-121.0,CanSWE_BCE_1A14
